"day","month","year","time","speed_limit","maximum_speed","vehicles_count","hourly_count","LAT","LNG"
1,5,2016,2,0,0,0,69,-37.818121,144.95728
1,5,2016,2,0,0,0,115,-37.813887,144.964405
1,5,2016,2,0,0,0,21,-37.789285,144.968952
1,5,2016,2,0,0,0,104,-37.78881,144.965314
1,5,2016,2,0,0,0,263,-37.810551,144.970219
1,5,2016,2,0,0,0,334,-37.815961,144.966504
1,5,2016,2,0,0,0,48,-37.812161,144.956369
1,5,2016,2,0,0,0,385,-37.818271,144.967062
1,5,2016,2,0,0,0,103,-37.819031,144.954035
1,5,2016,2,0,0,0,535,-37.812227,144.962225
1,5,2016,2,0,0,0,570,-37.81083,144.963134
1,5,2016,2,0,0,0,52,-37.825394,144.953111
1,5,2016,2,0,0,0,10,-37.814252,144.942659
1,5,2016,2,0,0,0,373,-37.819261,144.968357
1,5,2016,2,0,0,0,160,-37.80758,144.956785
1,5,2016,2,0,0,0,24,-37.80758,144.956785
1,5,2016,2,0,0,0,286,-37.812646,144.959686
1,5,2016,2,0,0,0,186,-37.820034,144.963055
1,5,2016,2,0,0,0,24,-37.798933,144.963945
1,5,2016,2,0,0,0,11,-37.818285,144.952776
1,5,2016,2,0,0,0,173,-37.809809,144.96519
1,5,2016,2,0,0,0,88,-37.821222,144.968534
1,5,2016,2,0,0,0,5,-37.806426,144.960759
1,5,2016,2,0,0,0,5,-37.815423,144.939177
1,5,2016,2,0,0,0,4,-37.823926,144.94719
1,5,2016,3,0,0,0,20,-37.808527,144.971467
1,5,2016,3,0,0,0,952,-37.817321,144.967349
1,5,2016,3,0,0,0,258,-37.815058,144.966617
1,5,2016,3,0,0,0,9,-37.821407,144.968775
1,5,2016,3,0,0,0,10,-37.800473,144.964411
1,5,2016,3,0,0,0,330,-37.813076,144.968004
1,5,2016,3,0,0,0,8,-37.815372,144.974894
1,5,2016,3,0,0,0,231,-37.817768,144.967191
1,5,2016,3,0,0,0,102,-37.812618,144.965491
1,5,2016,3,0,0,0,54,-37.81296,144.963769
1,5,2016,3,0,0,0,3,-37.815329,144.973305
1,5,2016,3,0,0,0,29,-37.814334,144.972395
1,5,2016,3,0,0,0,8,-37.814457,144.973654
1,5,2016,3,0,0,0,130,-37.819493,144.954064
1,5,2016,3,0,0,0,1,-37.796674,144.964864
1,5,2016,3,0,0,0,12,-37.813911,144.969905
1,5,2016,3,0,0,0,51,-37.818121,144.95728
1,5,2016,3,0,0,0,96,-37.813887,144.964405
1,5,2016,3,0,0,0,5,-37.789285,144.968952
1,5,2016,3,0,0,0,42,-37.78881,144.965314
1,5,2016,3,0,0,0,160,-37.810551,144.970219
1,5,2016,3,0,0,0,44,-37.815961,144.966504
1,5,2016,3,0,0,0,33,-37.812161,144.956369
1,5,2016,3,0,0,0,226,-37.818271,144.967062
1,5,2016,3,0,0,0,105,-37.819031,144.954035
1,5,2016,3,0,0,0,394,-37.812227,144.962225
1,5,2016,3,0,0,0,250,-37.81083,144.963134
1,5,2016,3,0,0,0,14,-37.825394,144.953111
1,5,2016,3,0,0,0,3,-37.814252,144.942659
1,5,2016,3,0,0,0,131,-37.819261,144.968357
1,5,2016,3,0,0,0,59,-37.80758,144.956785
1,5,2016,3,0,0,0,14,-37.80758,144.956785
1,5,2016,3,0,0,0,197,-37.812646,144.959686
1,5,2016,3,0,0,0,79,-37.820034,144.963055
1,5,2016,3,0,0,0,5,-37.798933,144.963945
1,5,2016,3,0,0,0,2,-37.818285,144.952776
1,5,2016,3,0,0,0,55,-37.809809,144.96519
1,5,2016,3,0,0,0,54,-37.821222,144.968534
1,5,2016,3,0,0,0,8,-37.806426,144.960759
1,5,2016,3,0,0,0,0,-37.815423,144.939177
1,5,2016,3,0,0,0,0,-37.823926,144.94719
1,5,2016,4,0,0,0,3,-37.808527,144.971467
1,5,2016,4,0,0,0,581,-37.817321,144.967349
1,5,2016,4,0,0,0,115,-37.815058,144.966617
1,5,2016,4,0,0,0,12,-37.821407,144.968775
1,5,2016,4,0,0,0,5,-37.800473,144.964411
1,5,2016,4,0,0,0,183,-37.813076,144.968004
1,5,2016,4,0,0,0,6,-37.815372,144.974894
1,5,2016,4,0,0,0,145,-37.817768,144.967191
1,5,2016,4,0,0,0,40,-37.812618,144.965491
