"road_name","LAT","LNG"
"McCrea Street   Docklands   Melbourne",-37.8221366,144.9496731
"Agnes Street   East Melbourne   Melbourne",-37.8174947,144.9799963
"Jolimont Street   East Melbourne   Melbourne",-37.8184625,144.9804356
"Jolimont Terrace   East Melbourne   Melbourne",-37.8177011,144.9819132
"Charles Street   East Melbourne   Melbourne",-37.8176296,144.9811838
"Abbotsford Street   West Melbourne   Melbourne",-37.8061922,144.944763
"Erskine Street   North Melbourne   Melbourne",-37.7947494,144.9442951
"Geographe Street   Docklands   Melbourne",-37.8201054,144.9454048
"Domain St   South Yarra   Melbourne",-37.8351938,144.9785788
"Haines Street   North Melbourne   Melbourne",-37.7985443,144.9466906
"Canning Street   North Melbourne   Melbourne",-37.7959257,144.942911
"Fogarty Street   North Melbourne   Melbourne",-37.7986148,144.9400706
"Haines St   North Melbourne   Melbourne",-37.7985443,144.9466906
"Macaulay Road   North Melbourne   Melbourne",-37.7967076,144.9402483
"Provost Street   North Melbourne   Melbourne",-37.8019806,144.9469743
"Langford Street   North Melbourne   Melbourne",-37.797588,144.9369667
"Little Curzon Street   North Melbourne   Melbourne",-37.8045804,144.9483325
"Bayles Street   Parkville   Melbourne",-37.7944019,144.9566834
